,datetime,k0,k1,k2,bound
365,1992-12-23 17:30:00,737606.7905,9548986.6905,2600.0,B
366,1992-12-23 17:30:00,737605.436,9548984.9565,2600.0,B
367,1992-12-25 17:30:00,737680.7779999998,9549008.2895,2600.0,A
368,1992-12-25 17:30:00,737679.4240000001,9549006.5555,2600.0,A
369,1992-12-25 17:30:00,737573.667,9548993.0265,2600.0,B
370,1992-12-25 17:30:00,737572.3125,9548991.2925,2600.0,B
371,1992-12-27 17:45:00,737588.797,9548988.0235,2600.0,B
372,1992-12-27 17:45:00,737587.442,9548986.2895,2600.0,B
373,1992-12-27 17:45:00,737451.2995,9549031.2855,2600.0,B
374,1992-12-27 17:45:00,737407.3935,9549048.173,2600.0,B
375,1992-12-27 17:45:00,737406.0390000001,9549046.4405,2600.0,B
376,1993-01-01 17:45:00,737436.4214999998,9549036.6015,2600.0,B
377,1993-01-01 17:45:00,737435.0665,9549034.869,2600.0,B
378,1993-01-01 17:45:00,737635.4650000002,9548999.023,2600.0,A
379,1993-01-01 17:45:00,737634.11,9548997.2895,2600.0,A
380,1993-01-01 17:45:00,737678.069,9549004.822,2600.0,A
381,1993-01-01 17:45:00,737676.7150000002,9549003.0885,2600.0,A
382,1993-01-03 17:30:00,737656.1675,9549001.1575,2600.0,A
383,1993-01-03 17:30:00,737654.8130000002,9548999.4235,2600.0,A
384,1993-01-03 17:30:00,737749.1175,9549047.0255,2600.0,A
385,1993-01-03 17:30:00,737747.7629999999,9549045.2925,2600.0,A
386,1993-01-05 17:40:00,737702.8355,9549012.1565,2600.0,A
387,1993-01-05 17:40:00,737701.4809999998,9549010.4235,2600.0,A
388,1993-01-05 17:40:00,737775.1945,9549056.0385,2600.0,A
389,1993-01-05 17:40:00,737773.843,9549054.3085,2600.0,A
390,1993-01-05 17:40:00,737604.0819999998,9548983.2235,2600.0,B
391,1993-01-05 17:40:00,737602.7270000001,9548981.4895,2600.0,B
392,1993-01-05 17:40:00,737466.6275,9549026.5575,2600.0,B
393,1993-01-05 17:40:00,737465.2729999999,9549024.825,2600.0,B
394,1993-01-08 17:30:00,737675.3605,9549001.3545,2600.0,A
395,1993-01-08 17:30:00,737674.0059999999,9548999.6215,2600.0,A
396,1993-01-08 17:30:00,737586.088,9548984.5565,2600.0,B
397,1993-01-08 17:30:00,737584.733,9548982.8225,2600.0,B
398,1993-01-10 17:25:00,737653.459,9548997.6895,2600.0,A
399,1993-01-10 17:25:00,737652.104,9548995.9565,2600.0,A
400,1993-01-10 17:25:00,737700.127,9549008.6895,2600.0,A
401,1993-01-10 17:25:00,737698.772,9549006.9565,2600.0,A
