Point ID,Points_0,Points_1,Points_2,Points_Magnitude
76,734498,9.55122e+06,2740,9.57942e+06
77,734498,9.55122e+06,2740,9.57942e+06
78,734498,9.55122e+06,2740,9.57942e+06
80,734498,9.55122e+06,2740,9.57942e+06
81,734498,9.55122e+06,2740,9.57942e+06
82,734498,9.55122e+06,2740,9.57942e+06
83,734498,9.55122e+06,2740,9.57942e+06
84,734498,9.55122e+06,2740,9.57942e+06
85,734511,9.55121e+06,2740,9.57942e+06
86,734498,9.55122e+06,2740,9.57942e+06
87,734498,9.55122e+06,2740,9.57942e+06
88,734498,9.55122e+06,2740,9.57942e+06
89,734510,9.55121e+06,2740,9.57941e+06
91,734498,9.55122e+06,2740,9.57942e+06
92,734498,9.55122e+06,2740,9.57942e+06
93,734498,9.55122e+06,2740,9.57942e+06
94,734511,9.55121e+06,2740,9.57942e+06
95,734510,9.55121e+06,2740,9.57941e+06
96,734498,9.55122e+06,2740,9.57942e+06
97,734498,9.55122e+06,2740,9.57942e+06
105,734498,9.55122e+06,2740,9.57942e+06
113,734498,9.55122e+06,2740,9.57942e+06
116,734498,9.55122e+06,2740,9.57942e+06
117,734498,9.55122e+06,2740,9.57942e+06
118,734498,9.55122e+06,2740,9.57942e+06
119,734542,9.55129e+06,2740,9.57949e+06
120,734511,9.55121e+06,2740,9.57942e+06
121,734498,9.55122e+06,2740,9.57942e+06
122,734498,9.55122e+06,2740,9.57942e+06
123,734498,9.55122e+06,2740,9.57942e+06
125,734542,9.55129e+06,2740,9.57949e+06
126,734498,9.55122e+06,2740,9.57942e+06
127,734498,9.55122e+06,2740,9.57942e+06
139,734510,9.55121e+06,2740,9.57941e+06
153,734510,9.55121e+06,2740,9.57941e+06
156,734510,9.55121e+06,2740,9.57941e+06
157,734510,9.55121e+06,2740,9.57941e+06
158,734510,9.55121e+06,2740,9.57941e+06
159,734511,9.55121e+06,2740,9.57942e+06
161,734510,9.55121e+06,2740,9.57941e+06
162,734510,9.55121e+06,2740,9.57941e+06
164,734511,9.55121e+06,2740,9.57942e+06
168,734511,9.55121e+06,2740,9.57942e+06
171,734511,9.55121e+06,2740,9.57942e+06
172,734511,9.55121e+06,2740,9.57942e+06
173,734511,9.55121e+06,2740,9.57942e+06
174,734523,9.5512e+06,2740,9.57941e+06
176,734511,9.55121e+06,2740,9.57942e+06
177,734511,9.55121e+06,2740,9.57942e+06
178,734511,9.55121e+06,2740,9.57942e+06
179,734542,9.55129e+06,2740,9.57949e+06
180,734523,9.5512e+06,2740,9.57941e+06
181,734511,9.55121e+06,2740,9.57942e+06
182,734511,9.55121e+06,2740,9.57942e+06
189,734523,9.5512e+06,2740,9.57941e+06
