Point ID,Points_0,Points_1,Points_2,Points_Magnitude
59,734587,9.5514e+06,2740,9.5796e+06
60,734587,9.5514e+06,2740,9.5796e+06
61,734594,9.55142e+06,2740,9.57963e+06
62,734638,9.55139e+06,2740,9.5796e+06
63,734587,9.5514e+06,2740,9.5796e+06
64,734587,9.5514e+06,2740,9.5796e+06
77,734594,9.55142e+06,2740,9.57963e+06
85,734588,9.55125e+06,2740,9.57946e+06
88,734588,9.55125e+06,2740,9.57946e+06
89,734588,9.55125e+06,2740,9.57946e+06
90,734588,9.55125e+06,2740,9.57946e+06
93,734588,9.55125e+06,2740,9.57946e+06
94,734588,9.55125e+06,2740,9.57946e+06
95,734588,9.55125e+06,2740,9.57946e+06
97,734601,9.55128e+06,2740,9.57948e+06
98,734588,9.55125e+06,2740,9.57946e+06
99,734588,9.55125e+06,2740,9.57946e+06
100,734588,9.55125e+06,2740,9.57946e+06
101,734629,9.55122e+06,2740,9.57944e+06
103,734588,9.55125e+06,2740,9.57946e+06
104,734588,9.55125e+06,2740,9.57946e+06
105,734588,9.55125e+06,2740,9.57946e+06
106,734601,9.55128e+06,2740,9.57948e+06
107,734629,9.55122e+06,2740,9.57944e+06
108,734588,9.55125e+06,2740,9.57946e+06
109,734588,9.55125e+06,2740,9.57946e+06
122,734601,9.55128e+06,2740,9.57948e+06
131,734629,9.55122e+06,2740,9.57944e+06
136,734593,9.55137e+06,2740,9.57958e+06
145,734593,9.55137e+06,2740,9.57958e+06
148,734593,9.55137e+06,2740,9.57958e+06
149,734593,9.55137e+06,2740,9.57958e+06
150,734593,9.55137e+06,2740,9.57958e+06
151,734602,9.55135e+06,2740,9.57956e+06
153,734593,9.55137e+06,2740,9.57958e+06
154,734593,9.55137e+06,2740,9.57958e+06
155,734593,9.55137e+06,2740,9.57958e+06
156,734638,9.55139e+06,2740,9.5796e+06
157,734602,9.55135e+06,2740,9.57956e+06
158,734593,9.55137e+06,2740,9.57958e+06
159,734593,9.55137e+06,2740,9.57958e+06
170,734594,9.55142e+06,2740,9.57963e+06
173,734594,9.55142e+06,2740,9.57963e+06
174,734594,9.55142e+06,2740,9.57963e+06
175,734594,9.55142e+06,2740,9.57963e+06
177,734610,9.55144e+06,2740,9.57965e+06
178,734594,9.55142e+06,2740,9.57963e+06
179,734594,9.55142e+06,2740,9.57963e+06
180,734594,9.55142e+06,2740,9.57963e+06
181,734610,9.55144e+06,2740,9.57965e+06
182,734644,9.5514e+06,2740,9.57961e+06
183,734594,9.55142e+06,2740,9.57963e+06
184,734594,9.55142e+06,2740,9.57963e+06
185,734594,9.55142e+06,2740,9.57963e+06
186,734644,9.5514e+06,2740,9.57961e+06
187,734638,9.55139e+06,2740,9.5796e+06
188,734594,9.55142e+06,2740,9.57963e+06
189,734594,9.55142e+06,2740,9.57963e+06
197,734610,9.55144e+06,2740,9.57965e+06
210,734600,9.55131e+06,2740,9.57952e+06
213,734600,9.55131e+06,2740,9.57952e+06
214,734600,9.55131e+06,2740,9.57952e+06
215,734600,9.55131e+06,2740,9.57952e+06
218,734600,9.55131e+06,2740,9.57952e+06
