Point ID,Points_0,Points_1,Points_2,Points_Magnitude
101,734770,9.55143e+06,2740,9.57965e+06
102,734770,9.55143e+06,2740,9.57965e+06
103,734770,9.55143e+06,2740,9.57965e+06
104,734783,9.55142e+06,2740,9.57964e+06
105,734782,9.55142e+06,2740,9.57964e+06
106,734770,9.55143e+06,2740,9.57965e+06
107,734770,9.55143e+06,2740,9.57965e+06
108,734770,9.55143e+06,2740,9.57965e+06
109,734798,9.55147e+06,2740,9.57969e+06
110,734783,9.55142e+06,2740,9.57964e+06
111,734770,9.55143e+06,2740,9.57965e+06
112,734770,9.55143e+06,2740,9.57965e+06
113,734770,9.55143e+06,2740,9.57965e+06
115,734798,9.55147e+06,2740,9.57969e+06
116,734770,9.55143e+06,2740,9.57965e+06
117,734770,9.55143e+06,2740,9.57965e+06
133,734782,9.55142e+06,2740,9.57964e+06
136,734782,9.55142e+06,2740,9.57964e+06
137,734782,9.55142e+06,2740,9.57964e+06
138,734782,9.55142e+06,2740,9.57964e+06
139,734783,9.55142e+06,2740,9.57964e+06
141,734782,9.55142e+06,2740,9.57964e+06
142,734782,9.55142e+06,2740,9.57964e+06
144,734783,9.55142e+06,2740,9.57964e+06
148,734783,9.55142e+06,2740,9.57964e+06
151,734783,9.55142e+06,2740,9.57964e+06
152,734783,9.55142e+06,2740,9.57964e+06
153,734783,9.55142e+06,2740,9.57964e+06
154,734795,9.55141e+06,2740,9.57963e+06
156,734783,9.55142e+06,2740,9.57964e+06
157,734783,9.55142e+06,2740,9.57964e+06
158,734783,9.55142e+06,2740,9.57964e+06
159,734822,9.55146e+06,2740,9.57968e+06
160,734795,9.55141e+06,2740,9.57963e+06
161,734783,9.55142e+06,2740,9.57964e+06
162,734783,9.55142e+06,2740,9.57964e+06
163,734783,9.55142e+06,2740,9.57964e+06
164,734798,9.55147e+06,2740,9.57969e+06
165,734822,9.55146e+06,2740,9.57968e+06
166,734783,9.55142e+06,2740,9.57964e+06
167,734783,9.55142e+06,2740,9.57964e+06
174,734795,9.55141e+06,2740,9.57963e+06
188,734794,9.55141e+06,2740,9.57963e+06
191,734794,9.55141e+06,2740,9.57963e+06
192,734794,9.55141e+06,2740,9.57963e+06
193,734794,9.55141e+06,2740,9.57963e+06
196,734794,9.55141e+06,2740,9.57963e+06
197,734794,9.55141e+06,2740,9.57963e+06
198,734794,9.55141e+06,2740,9.57963e+06
199,734807,9.5514e+06,2740,9.57962e+06
201,734794,9.55141e+06,2740,9.57963e+06
202,734794,9.55141e+06,2740,9.57963e+06
203,734794,9.55141e+06,2740,9.57963e+06
205,734795,9.55141e+06,2740,9.57963e+06
206,734794,9.55141e+06,2740,9.57963e+06
207,734794,9.55141e+06,2740,9.57963e+06
208,734794,9.55141e+06,2740,9.57963e+06
209,734795,9.55141e+06,2740,9.57963e+06
210,734807,9.5514e+06,2740,9.57963e+06
211,734794,9.55141e+06,2740,9.57963e+06
212,734794,9.55141e+06,2740,9.57963e+06
213,734794,9.55141e+06,2740,9.57963e+06
214,734807,9.5514e+06,2740,9.57963e+06
215,734807,9.5514e+06,2740,9.57962e+06
216,734794,9.55141e+06,2740,9.57963e+06
217,734794,9.55141e+06,2740,9.57963e+06
229,734807,9.5514e+06,2740,9.57962e+06
245,734795,9.55141e+06,2740,9.57963e+06
253,734795,9.55141e+06,2740,9.57963e+06
254,734843,9.55144e+06,2740,9.57966e+06
255,734807,9.5514e+06,2740,9.57963e+06
256,734795,9.55141e+06,2740,9.57963e+06
257,734795,9.55141e+06,2740,9.57963e+06
258,734795,9.55141e+06,2740,9.57963e+06
259,734822,9.55146e+06,2740,9.57968e+06
260,734843,9.55144e+06,2740,9.57966e+06
261,734795,9.55141e+06,2740,9.57963e+06
262,734795,9.55141e+06,2740,9.57963e+06
280,734798,9.55147e+06,2740,9.57969e+06
288,734798,9.55147e+06,2740,9.57969e+06
291,734798,9.55147e+06,2740,9.57969e+06
292,734798,9.55147e+06,2740,9.57969e+06
293,734798,9.55147e+06,2740,9.57969e+06
295,734822,9.55146e+06,2740,9.57968e+06
296,734798,9.55147e+06,2740,9.57969e+06
297,734798,9.55147e+06,2740,9.57969e+06
298,734807,9.5514e+06,2740,9.57962e+06
301,734807,9.5514e+06,2740,9.57962e+06
302,734807,9.5514e+06,2740,9.57962e+06
303,734807,9.5514e+06,2740,9.57962e+06
304,734807,9.5514e+06,2740,9.57963e+06
